threshold,precision,recall,f1,n_signals
0.3,0.5132013201320133,1.0,0.678298800436205,606
0.31,0.5132013201320133,1.0,0.678298800436205,606
0.32,0.5132013201320133,1.0,0.678298800436205,606
0.33,0.5132013201320133,1.0,0.678298800436205,606
0.34,0.5132013201320133,1.0,0.678298800436205,606
0.35,0.5132013201320133,1.0,0.678298800436205,606
0.36,0.5132013201320133,1.0,0.678298800436205,606
0.37,0.5132013201320133,1.0,0.678298800436205,606
0.38,0.5132013201320133,1.0,0.678298800436205,606
0.39,0.5132013201320133,1.0,0.678298800436205,606
0.4,0.5132013201320133,1.0,0.678298800436205,606
0.41,0.5132013201320133,1.0,0.678298800436205,606
0.42,0.5132013201320133,1.0,0.678298800436205,606
0.43,0.5132013201320133,1.0,0.678298800436205,606
0.44,0.5132013201320133,1.0,0.678298800436205,606
0.45,0.5132013201320133,1.0,0.678298800436205,606
0.46,0.5132013201320133,1.0,0.678298800436205,606
0.47,0.5132013201320133,1.0,0.678298800436205,606
0.48,0.5132013201320133,1.0,0.678298800436205,606
0.49,0.5132013201320133,1.0,0.678298800436205,606
0.5,0.5111731843575419,0.5884244372990354,0.547085201793722,358
0.51,0.7241379310344828,0.06752411575562701,0.12352941176470589,29
