equity_original,equity_nn
10000.0,10000.0
10025.568559284085,10000.0
10051.553643072433,10000.0
10077.454098945096,10025.900455872663
10102.818800994264,10051.26515792183
10128.457466847956,10076.903823775523
10154.150506736652,10102.59686366422
10179.779744110978,10102.59686366422
10205.321171840262,10102.59686366422
10231.095375658078,10102.59686366422
10257.65712239516,10102.59686366422
10285.050152010395,10102.59686366422
10312.515101106239,10130.061812760063
10339.832546862648,10157.379258516472
10365.955896326188,10157.379258516472
10391.484741754386,10182.90810394467
10413.672502031653,10182.90810394467
10394.767314263183,10164.0029161762
10376.663947942461,10145.899549855478
10358.950805332148,10128.186407245164
10340.617172908285,10128.186407245164
10321.307371371842,10128.186407245164
10298.782533338002,10128.186407245164
10329.143594719342,10128.186407245164
10359.278879952908,10128.186407245164
10389.190216241219,10128.186407245164
10419.665049435274,10128.186407245164
10452.763122780649,10128.186407245164
10486.811326768764,10128.186407245164
10519.841822826924,10128.186407245164
10551.441569166644,10128.186407245164
10577.796873271618,10128.186407245164
10603.812519773111,10128.186407245164
10629.041334381642,10128.186407245164
10653.553819040455,10128.186407245164
10678.086826558461,10128.186407245164
10657.3823122683,10128.186407245164
10636.362411722079,10128.186407245164
10615.575377955945,10128.186407245164
10595.735995039178,10128.186407245164
10576.11371090218,10128.186407245164
10554.750161346396,10128.186407245164
10533.381134303525,10128.186407245164
10510.864191781573,10128.186407245164
10487.761322162974,10128.186407245164
10465.062954392133,10128.186407245164
10493.009267150699,10128.186407245164
10517.35091078765,10128.186407245164
10540.753844667053,10128.186407245164
10563.356548057302,10128.186407245164
10585.387636752264,10128.186407245164
10607.630790540445,10128.186407245164
10630.09946124554,10128.186407245164
10652.948962112325,10128.186407245164
10635.175047182713,10128.186407245164
10617.82496657843,10128.186407245164
10600.891325883382,10128.186407245164
10583.750099255838,10128.186407245164
10564.95325153919,10128.186407245164
10594.25672154512,10128.186407245164
10625.641849919972,10128.186407245164
10655.799483076085,10128.186407245164
10680.859620574709,10128.186407245164
10706.058319680573,10128.186407245164
10730.414247589142,10128.186407245164
10755.230452410493,10128.186407245164
10779.702642601747,10128.186407245164
10803.669669375322,10128.186407245164
10826.724779615963,10128.186407245164
10849.30451786397,10128.186407245164
10871.157124975958,10128.186407245164
10893.263110318787,10128.186407245164
10916.047246541146,10128.186407245164
10940.218244127085,10128.186407245164
10965.77703457519,10128.186407245164
10992.124489823877,10128.186407245164
11017.932862052568,10128.186407245164
11043.283486432336,10128.186407245164
11071.924559378534,10128.186407245164
11100.99127694688,10128.186407245164
11129.638957211235,10128.186407245164
11158.326102836172,10128.186407245164
11187.021295537006,10128.186407245164
11214.909681783764,10128.186407245164
11242.963197249503,10128.186407245164
11270.812904132867,10128.186407245164
11298.97336018974,10128.186407245164
11328.050926528267,10128.186407245164
11357.794374010024,10128.186407245164
11387.727568267637,10158.119601502778
11419.094105792563,10158.119601502778
11449.377333159458,10158.119601502778
11428.676876645439,10158.119601502778
11407.889315462777,10158.119601502778
11387.923717355663,10158.119601502778
11367.498519113342,10158.119601502778
11392.920624216036,10158.119601502778
11418.498265338181,10158.119601502778
11444.148939069904,10158.119601502778
11469.781735436862,10158.119601502778
11494.94076063475,10158.119601502778
11520.145590673415,10158.119601502778
11545.992911925836,10158.119601502778
11572.236846113352,10158.119601502778
11550.581335404411,10158.119601502778
11580.174366807645,10158.119601502778
11610.110746135202,10158.119601502778
11639.580269126862,10158.119601502778
11665.189476935908,10158.119601502778
11690.01231973404,10158.119601502778
11714.96207443052,10158.119601502778
11739.929717742429,10158.119601502778
11764.785379556613,10158.119601502778
11789.137051576034,10158.119601502778
11770.132952361606,10158.119601502778
11750.600574519638,10158.119601502778
11730.657646657453,10158.119601502778
11711.384944669353,10158.119601502778
11691.626001528617,10158.119601502778
11670.478411469363,10158.119601502778
11649.298506414341,10158.119601502778
11627.997188327536,10158.119601502778
