datetime,open,high,low,close,volume,resistance,support,rsi,atr,daily_open,daily_range,daily_direction,dist_res_norm,dist_sup_norm,sr_position,hour,dow,ret_3,ret_5,ret_10,ret_20,atr_pctile,atr_change,rsi_sma,rsi_slope,near_support,near_resistance,body_size,upper_wick,lower_wick,is_bullish,bars_since_frac_up,bars_since_frac_down,vol_ratio
2024-10-01 04:00:00,2659.199951171875,2661.800048828125,2658.699951171875,2661.0,0,,,,,2631.39990234375,29.60009765625,1,,,0.5,4,1,,,,,,,,,0,0,,,,1,1.0,1.0,
2024-10-01 05:00:00,2660.89990234375,2665.800048828125,2660.89990234375,2664.39990234375,3391,,,,,2631.39990234375,33.0,1,,,0.5,5,1,,,,,,,,,0,0,,,,1,2.0,2.0,
2024-10-01 06:00:00,2664.300048828125,2666.800048828125,2663.800048828125,2666.5,3323,,,,,2631.39990234375,35.10009765625,1,,,0.5,6,1,,,,,,,,,0,0,,,,1,3.0,3.0,
2024-10-01 07:00:00,2666.60009765625,2668.89990234375,2662.89990234375,2667.0,7778,,,,,2631.39990234375,35.60009765625,1,,,0.5,7,1,0.22547914317925244,,,,,,,,0,0,,,,1,4.0,4.0,
2024-10-01 08:00:00,2667.10009765625,2668.199951171875,2663.800048828125,2667.89990234375,4060,,,,,2631.39990234375,36.5,1,,,0.5,8,1,0.13136166222349477,,,,,,,,0,0,,,,1,5.0,5.0,
2024-10-01 09:00:00,2667.800048828125,2670.699951171875,2666.800048828125,2670.10009765625,6127,,,,,2631.39990234375,38.7001953125,1,,,0.5,9,1,0.13501210036563904,0.34198037039647744,,,,,,,0,0,,,,1,6.0,6.0,
2024-10-01 10:00:00,2670.10009765625,2672.0,2669.699951171875,2671.699951171875,3096,,,,,2631.39990234375,40.300048828125,1,,,0.5,10,1,0.17622614067773767,0.27398472810720165,,,,,,,0,0,,,,1,7.0,7.0,
2024-10-01 11:00:00,2671.699951171875,2673.60009765625,2668.0,2671.800048828125,5676,,,,,2631.39990234375,40.400146484375,1,,,0.5,11,1,0.14618788662006388,0.19876425382054919,,,,,,,0,0,,,,1,8.0,8.0,
2024-10-01 12:00:00,2671.800048828125,2678.300048828125,2671.699951171875,2673.199951171875,11644,,,,,2631.39990234375,41.800048828125,1,,,0.5,12,1,0.11609503023297663,0.2324691103065213,,,,,,,0,0,,,,1,9.0,9.0,
2024-10-01 13:00:00,2673.199951171875,2694.0,2669.5,2689.800048828125,39403,2694.0,,,,2631.39990234375,58.400146484375,1,,,0.5,13,1,0.6774749405640046,0.820875868136417,,,,,,,0,0,,,,1,0.0,10.0,
2024-10-01 14:00:00,2690.800048828125,2691.89990234375,2678.89990234375,2680.5,28102,2694.0,,,,2631.39990234375,49.10009765625,1,,,0.5,14,1,0.32562134189983993,0.38949484900880904,0.732807215332576,,,,,,0,0,,,,0,1.0,11.0,
2024-10-01 15:00:00,2680.60009765625,2687.10009765625,2675.199951171875,2685.10009765625,18727,2694.0,,,,2631.39990234375,53.7001953125,1,,,0.5,15,1,0.44516484743903906,0.5015588100938162,0.7769177327431542,,,,,,0,0,,,,1,2.0,12.0,
2024-10-01 16:00:00,2685.0,2694.699951171875,2682.89990234375,2687.800048828125,18369,2694.699951171875,,,,2631.39990234375,56.400146484375,1,,,0.5,16,1,-0.07435496928001051,0.5988472081590812,0.7988017561644467,,,,,,0,0,,,,1,0.0,13.0,
2024-10-01 17:00:00,2687.800048828125,2693.39990234375,2681.89990234375,2683.800048828125,18824,2694.699951171875,,68.62963106688386,7.002393154120154,2631.39990234375,52.400146484375,1,1.5565967382646293,,0.5,17,1,0.12311318142603778,0.39653216556445603,0.6299230906683606,,,,,,0,0,0.5712332786750814,0.7997056709576625,0.27135672655811516,0,1.0,14.0,
2024-10-01 18:00:00,2683.699951171875,2686.39990234375,2678.89990234375,2682.5,7522,2694.699951171875,2678.89990234375,66.09354505193016,7.037936500254428,2631.39990234375,51.10009765625,1,1.7334557041590188,0.5115274421870463,0.22785357788525426,18,1,-0.09683429152304024,-0.27139745317892316,0.5472505787576187,,,,,,0,0,0.17049758431773582,0.3836282370233653,0.5115274421870463,0,2.0,0.0,
2024-10-01 19:00:00,2682.39990234375,2685.60009765625,2679.39990234375,2679.89990234375,5323,2694.699951171875,2678.89990234375,61.22087996905261,6.978097843986255,2631.39990234375,48.5,1,2.120928820291582,0.14330552857779186,0.0632909436469552,19,1,-0.293926123255317,-0.022387526814027225,0.3670201239310167,,,,,,1,0,0.35826382144447966,0.45860568080998426,0.07165276428889593,0,3.0,1.0,
2024-10-01 20:00:00,2679.89990234375,2685.300048828125,2679.199951171875,2684.800048828125,2387,2694.699951171875,2678.89990234375,66.26810169508202,6.915383544862237,2631.39990234375,53.400146484375,1,1.4315767563037196,0.8531915035657704,0.373425838651359,20,1,0.03726059996298492,-0.011174586317541646,0.490328176654109,,,,,-2.3615293718018364,0,0,0.7085863643840187,0.0723025695908759,0.10121653662941466,1,4.0,2.0,
2024-10-01 22:00:00,2684.60009765625,2684.60009765625,2681.89990234375,2683.0,0,2694.699951171875,2678.89990234375,63.0231058706753,6.628580897684578,2631.39990234375,51.60009765625,1,1.7650763191201146,0.6185483317676942,0.2594990497087319,22,1,0.01863932898416021,-0.17858652953808285,0.41919121817470817,,,,,-3.070439181254862,0,0,0.24139369813061018,0.0,0.16596277140319338,0,5.0,3.0,
2024-10-01 23:00:00,2683.10009765625,2683.199951171875,2681.0,2681.199951171875,1085,2694.699951171875,2678.89990234375,59.86610087752327,6.312250202983894,2631.39990234375,49.800048828125,1,2.138698493544877,0.36437858991041466,0.14557226076610474,23,1,0.04851109651475838,-0.09688119863420219,0.29926680181529,,,-9.855815518301547,,-1.3547790915293376,0,0,0.3010252165664746,0.015819004699433138,0.031676686671970024,0,6.0,4.0,
2024-10-02 00:00:00,2681.199951171875,2681.5,2678.0,2678.5,2271,2694.699951171875,2678.89990234375,55.384625661446826,6.111375188485045,2650.60009765625,27.89990234375,1,2.6507865533110597,-0.06543573768854669,-0.02531019670256656,0,2,-0.23465616483711038,-0.14911463187324836,-0.4201073917389553,,,-13.165241143279527,,-10.883476033635198,1,0,0.4417911007922087,0.049096777545313726,0.08181464638958708,0,7.0,5.0,0.24274750411527032
2024-10-02 01:00:00,2678.5,2683.199951171875,2677.199951171875,2681.60009765625,3074,2694.699951171875,2678.89990234375,59.16453735673216,6.103419817878971,2650.60009765625,31.0,1,2.1463136907690865,0.44240694447893275,0.1708979093592101,1,2,-0.05217675526463239,0.06344249316971862,0.04104076315052385,0.7741487281567094,,-12.53461968666839,,-3.8585685139431405,0,0,0.5079279729650532,0.2621241145723731,0.21300334352172848,1,8.0,6.0,0.3232692894175053
2024-10-02 02:00:00,2681.60009765625,2682.199951171875,2679.5,2681.10009765625,1536,2694.699951171875,2678.89990234375,58.306524917833265,5.860314914592974,2650.60009765625,30.5,1,2.3206694032362547,0.3754397749208353,0.1392524375357325,2,2,-0.00372420995984335,-0.1378110512732622,-0.148970237775925,0.6267901187734459,,-15.256834612638714,,-1.559575959690008,0,0,0.08531964703038955,0.10235858044612653,0.2730395344908072,0,9.0,7.0,0.16312052971692853
2024-10-02 03:00:00,2681.199951171875,2682.60009765625,2676.0,2676.5,2499,2694.699951171875,2678.89990234375,50.981244205323094,5.913156538997047,2650.60009765625,25.89990234375,1,3.0778740680797134,-0.4058580773099331,-0.15189208399647697,3,2,-0.07466865783087862,-0.2422661200149112,-0.4204199948970033,0.3750234389649387,,-10.793024475833658,60.893829667248255,-4.403381456123732,0,0,0.7948294858894733,0.23678495151296708,0.08455720674778668,0,10.0,8.0,0.26655573510823827
2024-10-02 04:00:00,2676.199951171875,2677.5,2673.39990234375,2675.199951171875,2888,2694.699951171875,2678.89990234375,49.10366478610059,5.783652333086543,2650.60009765625,24.599853515625,1,3.371571954359417,-0.63972572326118,-0.23417340111562648,4,2,-0.23866893836888003,-0.22378040091256546,-0.3204447984120562,0.307459736478255,,-8.374159022522187,58.94123303916992,-10.060872570631574,0,0,0.1729011258645855,0.2247799060617475,0.3112304689940403,0,11.0,9.0,0.31629730632539854
2024-10-02 05:00:00,2675.0,2677.199951171875,2665.39990234375,2669.0,6442,2694.699951171875,2665.39990234375,41.29315712027073,6.213394939875005,2650.60009765625,18.39990234375,1,4.136217224329862,0.579409113872041,0.12287002241423846,5,2,-0.4513109251992331,-0.3546761246966623,-0.5032618825722257,0.041234592620353894,,1.669341976944616,56.46119424600399,-17.013367797562537,0,0,0.9656556613671016,0.3540658839753806,0.579409113872041,0,12.0,0.0,0.6964512554393362
2024-10-02 06:00:00,2669.10009765625,2672.300048828125,2668.10009765625,2670.60009765625,3197,2694.699951171875,2665.39990234375,43.778633592589514,6.069577527875004,2650.60009765625,20.0,1,3.970598184955141,0.8567639656331435,0.1774807729162674,6,2,-0.22043348939846386,-0.4102028490233889,-0.34702059876813296,0.018725889731219247,,-0.554480783131317,54.71696960835768,-7.202610612733579,0,0,0.24713416924178563,0.28007734707528537,0.16475611282785707,1,13.0,1.0,0.35119325515612554
2024-10-02 07:00:00,2670.60009765625,2676.699951171875,2670.39990234375,2676.5,5499,2694.699951171875,2665.39990234375,51.8699671731803,6.086039763607147,2650.60009765625,25.89990234375,1,2.990442369552978,1.8238621644612887,0.3788422920850241,7,2,0.04859632370863842,-0.1715750061055621,-0.30914960805918934,0.17966272095859548,,3.8517528887754393,53.27715615616751,2.766302387079712,0,0,0.969415674710146,0.03285406925381154,0.0328941841124853,1,14.0,2.0,0.5962009671054058
